Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,14;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,16;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,03;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;0,02;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,24;0,07;0,07;855;105;105
Israel;Casesarea;Sivan et al. (2004);archaeological evidence;32,520;34,910;-0,15;0,07;0,07;855;105;105
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,59;0,07;0,07;856;75;75
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,93;0,04;0,04;859;70;70
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,32;0,16;0,16;860;65;66
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,58;0,06;0,06;862;57;57
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,80;0,20;0,20;866;13;28
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,92;0,09;0,09;871;47;47
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,18;0,35;0,35;873;135;135
Scotland, UK;Wick;"Dawson and Smith (1997);  Compiled in Shennan and Horton (2002)";Plants;58,450;-3,090;0,23;0,11;0,11;879;156;156
Connecticut, USA;Branford;"van de Plassche et al. (2002); Compiled in Englehart and Horton (2012)";plants;41,250;-72,860;-1,20;0,23;0,23;884;105;105
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,19;0,36;0,36;888;143;143
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,72;0,20;0,20;888;315;315
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,54;0,05;0,05;889;52;52
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-1,39;0,23;0,23;889;105;105
Scotland, UK;Wick;"Dawson and Smith (1997);  Compiled in Shennan and Horton (2002)";Plants;58,450;-3,090;0,36;0,11;0,11;890;109;109
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;891;149;136
North Carolina, USA;Croatan National Forest;"Cinquemani et al. (1982); Compiled in Horton et al. (2009)";plants;34,700;-77,100;-0,77;0,29;0,29;894;358;358
Rio de Janeiro, Brazil;Parati-Mirim;Martin and Suguio (1978);vermetid;-23,233;-44,617;1,00;0,40;0,40;895;177;177
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,89;0,09;0,09;907;45;45
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,78;0,20;0,20;908;67;30
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,84;0,19;0,19;914;320;320
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;0,36;0,05;0,05;920;140;140
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,57;0,07;0,07;922;58;58
Cook Islands;Aitutaki;Goodwin and Harvey (2008);coral microatoll;-18,860;-159,790;0,45;0,05;0,05;922;120;120
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,710;-70,370;-0,91;0,67;0,67;922;540;540
