Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-1,03;0,20;0,20;1143;310;310
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,64;0,04;0,04;1145;64;64
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,63;0,06;0,06;1148;116;182
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,08;0,03;0,03;1148;68;68
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,20;0,05;0,05;1152;40;40
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,51;0,14;0,14;1154;36;36
Louisiana, USA;Patout Canal;Gonzalez and Tornqvist (2009);peat;29,858;-91,729;-0,55;0,04;0,04;1155;110;110
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,30;0,36;0,36;1156;188;188
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,04;0,16;0,16;1157;59;67
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,11;0,35;0,35;1164;80;80
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,15;0,06;0,06;1167;39;39
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,08;0,03;0,03;1167;63;63
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,62;0,04;0,04;1169;56;56
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,45;0,07;0,07;1171;58;58
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,64;0,07;0,07;1173;106;106
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,62;0,20;0,20;1176;33;111
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,70;0,04;0,04;1176;78;78
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,71;0,04;0,04;1178;72;72
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,04;0,16;0,16;1179;54;64
Santa Catarina, Brazil;Ponta da Ilhota;Angulo et al. (1999);vermetid;-28,505;-48,746;0,20;0,50;0,50;1180;131;131
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,05;0,03;0,03;1180;59;59
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,50;0,14;0,14;1181;27;27
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,59;0,06;0,06;1181;90;186
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,62;0,20;0,20;1184;295;295
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,15;0,05;0,05;1184;39;39
Santa Catarina, Brazil;Ponta da Passagem da Barra;Angulo et al. (1999);vermetid;-28,505;-48,746;0,20;0,50;0,50;1186;133;133
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,50;0,04;0,04;1188;54;54
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,72;0,04;0,04;1194;42;42
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,14;0,05;0,05;1196;38;38
Santa Catarina, Brazil;Cape of Santa Marta;Angulo et al. (1999);vermetid;-28,605;-48,815;0,20;0,50;0,50;1197;140;140
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,01;0,03;0,03;1200;52;52
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,44;0,07;0,07;1201;52;52
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,06;0,10;0,05;1201;100;138
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,02;0,16;0,16;1201;44;58
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,48;0,14;0,14;1209;29;29
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,11;0,06;0,06;1213;35;35
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,05;0,35;0,35;1213;65;65
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,700;-70,360;-0,33;0,67;0,67;1215;180;180
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,00;0,03;0,03;1215;46;46
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,60;0,20;0,20;1216;10;40
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,62;0,04;0,04;1218;38;38
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,69;0,21;0,21;1218;290;290
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,48;0,10;0,10;1226;30;30
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1227;153;99
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,96;0,16;0,16;1228;45;54
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,43;0,07;0,07;1229;54;54
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,55;0,06;0,06;1229;107;162
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,43;0,04;0,04;1230;46;46
South Africa;Langebaan;Compton (2001);sediment;-33,140;18,060;-0,50;0,25;0,25;1231;57;57
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,04;0,05;0,05;1231;30;30
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,43;0,13;0,13;1238;26;26
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,97;0,03;0,03;1243;46;46
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,03;0,06;0,06;1246;26;26
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,50;0,08;0,08;1248;88;88
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,16;0,36;0,36;1249;171;171
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,81;0,19;0,19;1254;285;285
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,44;0,09;0,09;1256;21;21
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,51;0,06;0,06;1257;110;151
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,98;0,16;0,16;1259;58;57
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,96;0,03;0,03;1261;46;46
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,99;0,05;0,05;1262;22;22
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,40;0,23;0,23;1266;26;46
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,41;0,07;0,07;1268;63;63
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,02;0,16;0,16;1271;60;60
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1275;117;131
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,46;0,06;0,06;1277;92;125
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,41;0,35;0,35;1278;95;95
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,98;0,16;0,16;1283;64;62
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,01;0,06;0,06;1284;19;19
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,95;0,20;0,20;1286;280;280
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,46;0,07;0,07;1286;73;73
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,97;0,03;0,03;1286;46;46
Massachusetts, USA;Barnstable;"Stuiver et al. (1963); Compiled in Englehart and Horton (2012)";plants;41,730;-70,320;-1,63;0,56;0,56;1288;122;122
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,42;0,09;0,09;1294;39;39
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,43;0,06;0,06;1294;73;112
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1306;109;115
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,39;0,07;0,07;1306;65;65
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,93;0,06;0,06;1307;28;28
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,01;0,16;0,16;1308;64;67
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,39;0,06;0,06;1314;79;153
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,40;0,09;0,09;1318;46;46
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,86;0,19;0,19;1321;275;275
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,640;-0,63;0,26;0,26;1323;95;95
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,35;0,12;0,12;1323;48;48
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,09;0,35;0,35;1326;60;60
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,34;0,13;0,13;1328;64;64
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,93;0,05;0,05;1331;37;37
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,29;0,16;0,16;1332;62;62
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,11;0,36;0,36;1335;109;109
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,96;0,16;0,16;1335;57;72
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,93;0,14;0,14;1336;60;60
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1336;100;101
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,91;0,04;0,04;1336;33;33
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,85;0,16;0,16;1340;52;52
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1340;99;99
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,06;0,10;0,05;1343;97;99
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,37;0,07;0,07;1344;59;59
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,88;0,03;0,03;1345;42;42
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,68;0,14;0,14;1347;57;57
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,37;0,20;0,20;1347;275;275
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,35;0,06;0,06;1351;108;190
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-0,62;0,26;0,26;1356;86;86
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,270;-72,680;-0,73;0,26;0,26;1357;71;71
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,85;0,15;0,15;1357;65;65
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,13;0,35;0,35;1358;63;63
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;0,00;0,10;0,05;1359;88;93
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,87;0,06;0,06;1360;38;38
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,88;0,14;0,14;1360;62;62
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,29;0,35;0,35;1361;98;98
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,84;0,03;0,03;1362;40;40
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,91;0,16;0,16;1365;43;75
North Carolina, USA;Jarrett Bay;"Spaur and Snyder (1999); Compiled in Horton et al. (2009)";plants;34,800;-76,490;-0,73;0,13;0,13;1365;585;585
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-1,27;0,40;0,40;1367;70;70
Seychelles;Barbarons;Woodroffe et al. (2015);Mangrove Peat;-4,695;55,459;0,14;0,30;0,30;1374;54;54
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,41;0,13;0,13;1375;73;73
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,67;0,13;0,13;1378;75;75
Santa Catarina, Brazil;Ponta do Ji;Angulo et al. (1999);vermetid;-28,424;-48,738;0,40;0,50;0,50;1382;94;94
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,16;0,36;0,36;1383;100;100
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,35;0,07;0,07;1383;43;43
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,57;0,21;0,21;1386;260;260
North Carolina, USA;Pamlico Sound;Horton et al. (2009);plants;35,220;-75,660;-0,66;0,27;0,27;1387;67;67
Rio de Janeiro, Brazil;Tarituba;Martin and Suguio (1978);vermetid;-23,033;-44,600;0,70;0,40;0,40;1388;120;120
South Africa;Langebaan;Compton (2001);sediment;-33,140;18,060;-0,50;0,25;0,25;1388;65;65
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,84;0,03;0,03;1388;34;34
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-1,23;0,23;0,23;1391;57;57
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,31;0,06;0,06;1391;128;176
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,82;0,05;0,05;1392;30;30
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,97;0,16;0,16;1399;41;80
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,48;0,04;0,04;1405;51;51
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,22;0,35;0,35;1405;75;75
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,78;0,04;0,04;1413;27;27
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,82;0,03;0,03;1413;25;25
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,52;0,06;0,06;1415;60;60
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,26;0,06;0,06;1415;114;156
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,81;0,05;0,05;1416;24;24
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,27;0,35;0,35;1418;73;73
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,77;0,19;0,19;1418;255;255
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,87;0,14;0,14;1419;28;28
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,30;0,10;0,10;1420;40;40
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,67;0,13;0,13;1421;29;29
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,37;0,21;0,21;1425;30;30
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,94;0,16;0,16;1425;57;79
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,21;0,06;0,06;1437;110;153
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,82;0,04;0,04;1441;41;41
Seychelles;Barbarons;Woodroffe et al. (2015);Mangrove Peat;-4,695;55,459;-0,88;0,30;0,30;1442;39;39
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,78;0,06;0,06;1443;32;32
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,73;0,03;0,03;1447;28;28
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,88;0,16;0,16;1448;67;82
South West England, UK;Thurlestone;Gehrels et al. (2011);foraminifera;50,300;-3,850;-0,63;0,21;0,21;1448;167;34
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,10;0,36;0,36;1449;71;71
Brittany, France;Tresseny;Stephan et al. (2015);foraminifera;48,640;-4,400;-0,28;0,14;0,14;1450;162;27
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,71;0,20;0,20;1451;245;245
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,33;0,07;0,07;1454;41;41
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,19;0,06;0,06;1458;104;163
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,76;0,06;0,06;1461;39;39
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,29;0,09;0,09;1463;20;20
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,59;0,22;0,22;1464;40;40
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-1,44;0,21;0,21;1466;56;56
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,71;0,03;0,03;1467;30;30
Brittany, France;Arun;Stephan et al. (2015);foraminifera;48,290;-4,240;-0,30;0,20;0,20;1467;167;63
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,85;0,16;0,16;1470;72;80
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,57;0,14;0,14;1479;45;45
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,05;0,36;0,36;1479;63;63
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,74;0,05;0,05;1479;42;42
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,54;0,21;0,21;1480;240;240
New Jersey, USA;Brigantine Marsh;"Donnelly et al. (2004a); Compiled in Horton et al. (2013)";plants;39,420;-74,350;-0,82;0,34;0,34;1482;149;149
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-0,43;0,26;0,26;1485;150;150
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,49;0,06;0,06;1486;91;91
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,49;0,06;0,06;1487;95;95
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,15;0,06;0,06;1487;116;150
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,73;0,07;0,07;1488;43;43
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,67;0,03;0,03;1490;30;30
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,31;0,07;0,07;1492;56;56
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,73;0,16;0,16;1494;70;78
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,45;0,04;0,04;1494;54;54
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,10;0,36;0,36;1494;46;46
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;0,35;0,05;0,05;1500;80;80
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,12;0,06;0,06;1504;123;142
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,13;0,08;0,08;1509;42;42
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,02;0,12;0,12;1510;70;70
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,56;0,13;0,13;1512;96;96
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,39;0,18;0,18;1513;103;103
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,08;0,06;0,06;1514;121;135
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,28;0,23;0,23;1514;30;30
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,26;0,20;0,20;1514;230;230
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,72;0,05;0,05;1515;41;41
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,83;0,16;0,16;1519;67;72
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,03;0,06;0,06;1521;125;137
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,12;0,07;0,07;1521;40;40
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,61;0,13;0,13;1522;112;112
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;0,00;0,07;0,07;1522;112;112
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,65;0,03;0,03;1522;34;34
New Zealand;Blueskin Bay;Gibb (1986);shells;-45,720;170,350;0,00;0,25;0,25;1525;95;95
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,39;0,05;0,05;1525;90;90
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,99;0,06;0,06;1527;129;142
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,54;0,04;0,04;1528;62;62
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,29;0,07;0,07;1529;59;59
South Africa;Langebaan;Compton (2001);sediment;-33,140;18,060;-0,50;0,25;0,25;1531;120;120
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,10;0,07;0,07;1532;38;38
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,95;0,06;0,06;1533;131;147
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,53;0,13;0,13;1535;95;95
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-1,03;0,23;0,23;1538;93;93
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,270;-72,680;-1,11;0,32;0,32;1541;102;102
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,89;0,06;0,06;1541;137;161
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,66;0,03;0,03;1542;35;35
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,14;0,08;0,08;1544;91;91
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,06;0,11;0,11;1544;91;91
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,35;0,21;0,21;1546;220;220
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-1,04;0,23;0,23;1548;96;96
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,14;0,36;0,36;1548;85;85
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;0,04;0,37;0,37;1549;47;47
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,24;0,08;0,08;1550;90;90
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,27;0,13;0,13;1552;90;90
New Jersey, USA;Brigantine Marsh;"Donnelly et al. (2004a); Compiled in Horton et al. (2013)";plants;39,420;-74,350;-0,96;0,34;0,34;1552;90;90
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,87;0,06;0,06;1553;130;181
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,35;0,29;0,29;1554;30;30
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,41;0,11;0,11;1555;88;88
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-1,28;0,21;0,21;1555;89;89
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;0,00;0,07;0,07;1556;88;88
